RegionName,Date,AvgPrice,StateCode,Bedrooms
California,2000-01-31,113956.42717653792,CA,1
Texas,2000-01-31,65836.86096021527,TX,1
Florida,2000-01-31,50336.20175829217,FL,1
New York,2000-01-31,129988.12958520705,NY,1
Pennsylvania,2000-01-31,59113.60466348696,PA,1
Illinois,2000-01-31,83705.81161973035,IL,1
Ohio,2000-01-31,54011.38754462518,OH,1
Georgia,2000-01-31,84070.51139197314,GA,1
North Carolina,2000-01-31,72958.63013115627,NC,1
Michigan,2000-01-31,68876.47856158782,MI,1
New Jersey,2000-01-31,90054.41124303889,NJ,1
Virginia,2000-01-31,81192.17902617762,VA,1
Washington,2000-01-31,114937.39471133468,WA,1
Arizona,2000-01-31,64345.262198337055,AZ,1
Massachusetts,2000-01-31,122292.7996717014,MA,1
Tennessee,2000-01-31,68211.13764358361,TN,1
Indiana,2000-01-31,,IN,1
Maryland,2000-01-31,78543.58523121418,MD,1
Missouri,2000-01-31,50387.60077173424,MO,1
Wisconsin,2000-01-31,65548.24288570837,WI,1
Colorado,2000-01-31,97618.43689157785,CO,1
Minnesota,2000-01-31,61681.05058435988,MN,1
South Carolina,2000-01-31,83200.97183474425,SC,1
Alabama,2000-01-31,67657.36380848858,AL,1
Louisiana,2000-01-31,82223.67683526965,LA,1
Kentucky,2000-01-31,43317.22647023185,KY,1
Oregon,2000-01-31,90032.27528769239,OR,1
Oklahoma,2000-01-31,30120.66710351134,OK,1
Connecticut,2000-01-31,71310.28027322875,CT,1
Utah,2000-01-31,112968.60473743224,UT,1
Iowa,2000-01-31,58620.12755943338,IA,1
Nevada,2000-01-31,83689.07278769664,NV,1
Arkansas,2000-01-31,46087.97084839593,AR,1
Mississippi,2000-01-31,,MS,1
Kansas,2000-01-31,43952.65252794765,KS,1
New Mexico,2000-01-31,,NM,1
Nebraska,2000-01-31,54312.03777394247,NE,1
Idaho,2000-01-31,82446.24034323356,ID,1
West Virginia,2000-01-31,39282.53059443623,WV,1
